t,az
21.617000,9.900169373
21.638000,9.904960632
21.678000,9.895379066
21.718000,9.914543152
21.739000,9.890587807
21.759000,9.904960632
21.779000,9.895379066
21.817000,9.909751892
21.839000,9.900169373
21.880000,9.904960632
21.918000,9.900169373
21.939000,9.900169373
21.960000,9.900169373
21.999000,9.909751892
22.041000,9.904960632
22.060000,9.904960632
22.080000,9.900169373
22.120000,9.904960632
22.141000,9.900169373
22.160000,9.914543152
22.181000,9.909751892
22.201000,9.900169373
22.242000,9.904960632
22.262000,9.904960632
22.281000,9.904960632
22.301000,9.900169373
22.321000,9.904960632
22.341000,9.904960632
22.362000,9.909751892
22.383000,9.909751892
22.421000,9.909751892
22.442000,9.895379066
22.462000,9.909751892
22.482000,9.909751892
22.507000,9.904960632
22.541000,9.904960632
22.563000,9.909751892
22.603000,9.895379066
22.622000,9.900169373
22.643000,9.914543152
22.664000,9.895379066
22.703000,9.914543152
22.723000,9.890587807
22.764000,9.890587807
22.784000,9.904960632
22.823000,9.904960632
22.843000,9.904960632
22.864000,9.900169373
22.885000,9.909751892
22.923000,9.895379066
22.944000,9.904960632
22.965000,9.900169373
22.985000,9.904960632
23.005000,9.909751892
23.044000,9.928915977
23.065000,9.900169373
23.085000,9.900169373
23.106000,9.900169373
23.144000,9.914543152
23.165000,9.895379066
23.187000,9.904960632
23.225000,9.904960632
23.266000,9.900169373
23.287000,9.909751892
23.326000,9.904960632
23.346000,9.904960632
23.387000,9.904960632
23.427000,9.895379066
23.467000,9.904960632
23.488000,9.904960632
23.527000,9.900169373
23.567000,9.909751892
23.587000,9.909751892
23.609000,9.900169373
23.648000,9.895379066
23.669000,9.904960632
23.688000,9.900169373
23.708000,9.900169373
23.728000,9.914543152
23.768000,9.900169373
23.789000,9.900169373
23.809000,9.904960632
23.848000,9.900169373
23.891000,9.890587807
23.929000,9.904960632
23.949000,9.904960632
23.969000,9.904960632
23.990000,9.900169373
24.030000,9.900169373
24.051000,9.904960632
24.093000,9.900169373
24.131000,9.904960632
24.170000,9.900169373
24.191000,9.909751892
24.232000,9.904960632
24.251000,9.909751892
24.292000,9.904960632
24.333000,9.900169373
24.372000,9.904960632
24.414000,9.909751892
24.433000,9.900169373
24.471000,9.895379066
24.493000,9.904960632
24.534000,9.900169373
24.573000,9.890587807
24.593000,9.909751892
24.613000,9.909751892
24.633000,9.900169373
24.672000,9.904960632
24.692000,9.904960632
24.712000,9.895379066
24.734000,9.900169373
24.772000,9.904960632
24.793000,9.900169373
24.814000,9.904960632
24.834000,9.904960632
24.873000,9.900169373
24.894000,9.895379066
24.914000,9.895379066
24.935000,9.904960632
24.974000,9.895379066
24.995000,9.900169373
25.035000,9.900169373
25.057000,9.900169373
25.096000,9.895379066
25.116000,9.904960632
25.137000,9.904960632
25.175000,9.900169373
25.195000,9.895379066
25.217000,9.904960632
25.256000,9.900169373
25.275000,9.904960632
25.295000,9.900169373
25.316000,9.909751892
25.337000,9.900169373
25.356000,9.900169373
25.379000,9.900169373
25.416000,9.900169373
25.437000,9.904960632
25.477000,9.904960632
25.496000,9.904960632
25.516000,9.904960632
25.539000,9.895379066
25.578000,9.895379066
25.617000,9.895379066
25.639000,9.909751892
25.678000,9.904960632
25.720000,9.909751892
25.759000,9.904960632
25.778000,9.904960632
25.798000,9.904960632
25.819000,9.900169373
25.839000,9.904960632
25.879000,9.900169373
25.899000,9.904960632
25.941000,9.900169373
25.979000,9.900169373
25.999000,9.895379066
26.019000,9.904960632
26.039000,9.904960632
26.060000,9.900169373
26.080000,9.904960632
26.099000,9.900169373
26.141000,9.904960632
26.180000,9.900169373
26.222000,9.900169373
26.262000,9.904960632
26.300000,9.904960632
26.321000,9.895379066
26.341000,9.904960632
26.362000,9.895379066
26.401000,9.909751892
26.421000,9.909751892
26.443000,9.904960632
26.482000,9.895379066
26.522000,9.895379066
26.543000,9.904960632
26.582000,9.904960632
26.622000,9.904960632
26.642000,9.900169373
26.664000,9.900169373
26.683000,9.900169373
26.703000,9.904960632
26.744000,9.900169373
26.783000,9.909751892
26.803000,9.904960632
26.843000,9.904960632
26.863000,9.900169373
26.884000,9.904960632
26.905000,9.904960632
26.944000,9.914543152
26.966000,9.895379066
26.985000,9.914543152
27.024000,9.904960632
27.044000,9.900169373
27.064000,9.904960632
27.085000,9.904960632
27.105000,9.909751892
27.125000,9.900169373
27.145000,9.900169373
27.187000,9.904960632
27.225000,9.895379066
27.268000,9.904960632
